"Market","date_char","Outcome","Back","Lay","Matched"
"2015 UK General Election - Electoral Bias?","06/01/2015 17:16:03","Con fewer votes Con more seats",11,95,NA
"2015 UK General Election - Electoral Bias?","06/01/2015 17:16:03","Con more votes Con more seats",2.72,2.96,NA
"2015 UK General Election - Electoral Bias?","06/01/2015 17:16:03","Lab fewer votes Lab more seats",3.6,4.6,NA
"2015 UK General Election - Electoral Bias?","06/01/2015 17:16:03","Lab more votes Lab more seats",2.62,2.72,NA
"2015 UK General Election - Electoral Bias?","06/01/2015 17:20:23","Con fewer votes Con more seats",11,95,NA
"2015 UK General Election - Electoral Bias?","06/01/2015 17:20:23","Con more votes Con more seats",2.72,2.96,NA
"2015 UK General Election - Electoral Bias?","06/01/2015 17:20:23","Lab fewer votes Lab more seats",3.6,4.6,NA
"2015 UK General Election - Electoral Bias?","06/01/2015 17:20:23","Lab more votes Lab more seats",2.62,2.72,NA
"2015 UK General Election - Electoral Bias?","07/01/2015 17:14:51","Con fewer votes Con more seats",10,95,NA
"2015 UK General Election - Electoral Bias?","07/01/2015 17:14:51","Con more votes Con more seats",2.62,2.96,NA
"2015 UK General Election - Electoral Bias?","07/01/2015 17:14:51","Lab fewer votes Lab more seats",3.4,4,NA
"2015 UK General Election - Electoral Bias?","07/01/2015 17:14:51","Lab more votes Lab more seats",2.52,2.84,NA
"2015 UK General Election - Electoral Bias?","08/01/2015 15:14:28","Con fewer votes Con more seats",9,55,NA
"2015 UK General Election - Electoral Bias?","08/01/2015 15:14:28","Con more votes Con more seats",2.56,2.96,NA
"2015 UK General Election - Electoral Bias?","08/01/2015 15:14:28","Lab fewer votes Lab more seats",3.45,4,NA
"2015 UK General Election - Electoral Bias?","08/01/2015 15:14:28","Lab more votes Lab more seats",2.54,2.94,NA
"2015 UK General Election - Electoral Bias?","09/01/2015 09:47:31","Con fewer votes Con more seats",9,60,NA
"2015 UK General Election - Electoral Bias?","09/01/2015 09:47:31","Con more votes Con more seats",2.04,2.96,NA
"2015 UK General Election - Electoral Bias?","09/01/2015 09:47:31","Lab fewer votes Lab more seats",3.45,4,NA
"2015 UK General Election - Electoral Bias?","09/01/2015 09:47:31","Lab more votes Lab more seats",2.54,5,NA
"2015 UK General Election - Electoral Bias?","09/01/2015 20:11:29","Con more votes Con more seats",2.06,2.94,"1293"
"2015 UK General Election - Electoral Bias?","09/01/2015 20:11:29","Lab more votes Lab more seats",2.56,5,"1293"
"2015 UK General Election - Electoral Bias?","09/01/2015 20:11:29","Lab fewer votes Lab more seats",3.6,4,"1293"
"2015 UK General Election - Electoral Bias?","09/01/2015 20:11:29","Con fewer votes Con more seats",9,60,"1293"
"2015 UK General Election - Electoral Bias?","10/01/2015 10:57:53","Con more votes Con more seats",2.1,2.94,"1293"
"2015 UK General Election - Electoral Bias?","10/01/2015 10:57:53","Con fewer votes Con more seats",9,50,"1293"
"2015 UK General Election - Electoral Bias?","10/01/2015 10:57:53","Lab more votes Lab more seats",2.58,5,"1293"
"2015 UK General Election - Electoral Bias?","10/01/2015 10:57:53","Lab fewer votes Lab more seats",3.6,4,"1293"
"2015 UK General Election - Electoral Bias?","11/01/2015 10:47:29","Lab fewer votes Lab more seats",3.6,4,"1299"
"2015 UK General Election - Electoral Bias?","11/01/2015 10:47:29","Lab more votes Lab more seats",2.58,5,"1299"
"2015 UK General Election - Electoral Bias?","11/01/2015 10:47:29","Con fewer votes Con more seats",20,50,"1299"
"2015 UK General Election - Electoral Bias?","11/01/2015 10:47:29","Con more votes Con more seats",2.12,2.94,"1299"
"2015 UK General Election - Electoral Bias?","11/01/2015 22:21:18","Con fewer votes Con more seats",20,50,"1299"
"2015 UK General Election - Electoral Bias?","11/01/2015 22:21:18","Lab fewer votes Lab more seats",3.6,4,"1299"
"2015 UK General Election - Electoral Bias?","11/01/2015 22:21:18","Con more votes Con more seats",2.12,2.94,"1299"
"2015 UK General Election - Electoral Bias?","11/01/2015 22:21:18","Lab more votes Lab more seats",2.58,5,"1299"
"2015 UK General Election - Electoral Bias?","12/01/2015 11:04:08","Lab more votes Lab more seats",2.58,4.9,"1299"
