"Market","Outcome","Date_Char","Back","Lay"
"2015 UK General Election - Electoral Bias?","Con fewer votes Con more seats","06/01/2015 17:16:03",11,95
"2015 UK General Election - Electoral Bias?","Con fewer votes Con more seats","06/01/2015 17:20:23",11,95
"2015 UK General Election - Electoral Bias?","Con fewer votes Con more seats","07/01/2015 17:14:51",10,95
"2015 UK General Election - Electoral Bias?","Con more votes Con more seats","06/01/2015 17:16:03",2.72,2.96
"2015 UK General Election - Electoral Bias?","Con more votes Con more seats","06/01/2015 17:20:23",2.72,2.96
"2015 UK General Election - Electoral Bias?","Con more votes Con more seats","07/01/2015 17:14:51",2.62,2.96
"2015 UK General Election - Electoral Bias?","Lab fewer votes Lab more seats","06/01/2015 17:16:03",3.6,4.6
"2015 UK General Election - Electoral Bias?","Lab fewer votes Lab more seats","06/01/2015 17:20:23",3.6,4.6
"2015 UK General Election - Electoral Bias?","Lab fewer votes Lab more seats","07/01/2015 17:14:51",3.4,4
"2015 UK General Election - Electoral Bias?","Lab more votes Lab more seats","06/01/2015 17:16:03",2.62,2.72
"2015 UK General Election - Electoral Bias?","Lab more votes Lab more seats","06/01/2015 17:20:23",2.62,2.72
"2015 UK General Election - Electoral Bias?","Lab more votes Lab more seats","07/01/2015 17:14:51",2.52,2.84
"2015 UK General Election - Most Seats","Any Other","06/01/2015 17:16:04",130,180
"2015 UK General Election - Most Seats","Any Other","06/01/2015 17:20:24",130,180
"2015 UK General Election - Most Seats","Any Other","07/01/2015 17:14:51",130,170
"2015 UK General Election - Most Seats","Conservative","06/01/2015 17:16:04",2.1,2.12
"2015 UK General Election - Most Seats","Conservative","06/01/2015 17:20:24",2.08,2.12
"2015 UK General Election - Most Seats","Conservative","07/01/2015 17:14:51",2.08,2.12
"2015 UK General Election - Most Seats","Labour","06/01/2015 17:16:04",1.91,1.93
"2015 UK General Election - Most Seats","Labour","06/01/2015 17:20:24",1.91,1.94
"2015 UK General Election - Most Seats","Labour","07/01/2015 17:14:51",1.93,1.94
"2015 UK General Election - Most Seats","Liberal Democrat","06/01/2015 17:16:04",860,1000
"2015 UK General Election - Most Seats","Liberal Democrat","06/01/2015 17:20:24",860,1000
"2015 UK General Election - Most Seats","Liberal Democrat","07/01/2015 17:14:51",860,1000
"2015 UK General Election - Next Government","Any Other Government/Coalition","06/01/2015 17:16:04",6.2,7
"2015 UK General Election - Next Government","Any Other Government/Coalition","06/01/2015 17:20:25",6.2,7
"2015 UK General Election - Next Government","Any Other Government/Coalition","07/01/2015 17:14:52",6.2,6.6
"2015 UK General Election - Next Government","Con-Lib Dem Coalition","06/01/2015 17:16:04",7.4,8.2
"2015 UK General Election - Next Government","Con-Lib Dem Coalition","06/01/2015 17:20:25",7.4,8.2
"2015 UK General Election - Next Government","Con-Lib Dem Coalition","07/01/2015 17:14:52",7.4,9.4
"2015 UK General Election - Next Government","Con-UKIP Coalition","06/01/2015 17:16:04",14,28
"2015 UK General Election - Next Government","Con-UKIP Coalition","06/01/2015 17:20:25",14,28
"2015 UK General Election - Next Government","Con-UKIP Coalition","07/01/2015 17:14:52",14.5,28
"2015 UK General Election - Next Government","Con Majority","06/01/2015 17:16:04",6.2,6.8
"2015 UK General Election - Next Government","Con Majority","06/01/2015 17:20:25",6.2,6.8
"2015 UK General Election - Next Government","Con Majority","07/01/2015 17:14:52",6,6.4
"2015 UK General Election - Next Government","Con Minority","06/01/2015 17:16:04",5.8,6.4
"2015 UK General Election - Next Government","Con Minority","06/01/2015 17:20:25",5.8,6.4
"2015 UK General Election - Next Government","Con Minority","07/01/2015 17:14:52",6.4,7.4
"2015 UK General Election - Next Government","Lab-Lib Dem Coalition","06/01/2015 17:16:04",9.2,10.5
"2015 UK General Election - Next Government","Lab-Lib Dem Coalition","06/01/2015 17:20:25",9.2,10.5
"2015 UK General Election - Next Government","Lab-Lib Dem Coalition","07/01/2015 17:14:52",9.2,10.5
"2015 UK General Election - Next Government","Lab Majority","06/01/2015 17:16:04",6,7
"2015 UK General Election - Next Government","Lab Majority","06/01/2015 17:20:25",6,7
"2015 UK General Election - Next Government","Lab Majority","07/01/2015 17:14:52",6.2,6.6
"2015 UK General Election - Next Government","Lab Minority","06/01/2015 17:16:04",7.4,7.6
"2015 UK General Election - Next Government","Lab Minority","06/01/2015 17:20:25",7.4,7.6
"2015 UK General Election - Next Government","Lab Minority","07/01/2015 17:14:52",5.9,7.4
"2015 UK General Election - Overall Majority","Any Other Party Majority","06/01/2015 17:16:05",230,870
"2015 UK General Election - Overall Majority","Any Other Party Majority","06/01/2015 17:20:25",230,870
"2015 UK General Election - Overall Majority","Any Other Party Majority","07/01/2015 17:14:53",230,880
"2015 UK General Election - Overall Majority","Conservative Majority","06/01/2015 17:16:05",6.2,6.4
"2015 UK General Election - Overall Majority","Conservative Majority","06/01/2015 17:20:25",6.2,6.4
"2015 UK General Election - Overall Majority","Conservative Majority","07/01/2015 17:14:53",6.2,6.6
"2015 UK General Election - Overall Majority","Labour Majority","06/01/2015 17:16:05",6.4,6.6
"2015 UK General Election - Overall Majority","Labour Majority","06/01/2015 17:20:25",6.4,6.6
"2015 UK General Election - Overall Majority","Labour Majority","07/01/2015 17:14:53",6.6,6.8
"2015 UK General Election - Overall Majority","No Overall Majority","06/01/2015 17:16:05",1.44,1.45
"2015 UK General Election - Overall Majority","No Overall Majority","06/01/2015 17:20:25",1.44,1.45
"2015 UK General Election - Overall Majority","No Overall Majority","07/01/2015 17:14:53",1.42,1.44
"2015 UK General Election - Party Leaders","Cameron only","06/01/2015 17:16:05",24,1000
