"","date_char","Any Other Party Majority_Back","Any Other Party Majority_Lay","Conservative Majority_Back","Conservative Majority_Lay","Labour Majority_Back","Labour Majority_Lay","No Overall Majority_Back","No Overall Majority_Lay"
"1","01/09/2014 23:51:02",80,310,4.5,4.6,2.88,2.92,2.34,2.38
"2","02/09/2014 13:17:29",80,310,4.5,4.9,2.78,2.9,2.32,2.38
"3","02/09/2014 21:16:28",80,310,4.5,4.8,2.8,2.9,2.32,2.38
"4","03/09/2014 10:41:24",80,310,4.5,4.8,2.8,2.9,2.36,2.38
"5","04/09/2014 15:31:34",100,340,4.7,5.2,2.6,2.74,2.38,2.42
"6","04/09/2014 23:14:55",110,310,4.7,5.1,2.64,2.74,2.4,2.42
"7","05/09/2014 11:10:16",110,310,4.7,5.2,2.6,2.76,2.4,2.42
"8","05/09/2014 17:53:46",110,310,4.7,5,2.66,2.76,2.4,2.42
"9","07/09/2014 11:08:01",110,310,4.5,4.9,2.66,2.76,2.4,2.42
"10","07/09/2014 22:41:08",110,310,4.6,4.9,2.66,2.76,2.4,2.42
"11","08/09/2014 09:42:52",110,310,4.6,4.9,2.66,2.76,2.4,2.42
"12","08/09/2014 22:55:14",110,350,4.2,4.7,2.68,2.76,2.44,2.64
"13","10/09/2014 00:12:03",110,310,4.3,4.4,2.66,2.78,2.5,2.62
"14","10/09/2014 16:12:14",110,310,4.2,4.3,2.8,2.88,2.44,2.52
"15","10/09/2014 19:32:06",110,310,4.2,4.3,2.8,2.9,2.44,2.52
"16","11/09/2014 10:12:58",80,310,4.7,4.8,2.76,2.86,2.34,2.38
"17","12/09/2014 08:48:54",80,310,4.5,4.6,2.78,2.88,2.36,2.38
"18","12/09/2014 14:23:26",80,310,4.5,4.6,2.78,2.88,2.36,2.38
"19","13/09/2014 11:19:25",85,310,4.5,4.6,2.8,2.88,2.36,2.38
"20","13/09/2014 19:54:28",85,310,4.5,4.6,2.8,2.88,2.36,2.38
"21","14/09/2014 10:02:14",85,310,4.5,4.6,2.8,2.88,2.36,2.38
"22","14/09/2014 14:56:27",85,310,4.5,4.6,2.82,2.88,2.36,2.38
"23","14/09/2014 20:14:40",85,310,4.5,4.6,2.82,2.88,2.36,2.38
"24","16/09/2014 10:45:17",85,310,4.3,4.5,2.84,2.9,2.36,2.38
"25","17/09/2014 00:18:07",110,290,4.3,4.5,2.84,2.88,2.36,2.38
"26","17/09/2014 13:42:29",110,290,4.3,4.6,2.84,2.88,2.36,2.38
"27","17/09/2014 20:58:19",110,290,4.3,4.6,2.84,2.88,2.36,2.38
"28","17/09/2014 22:40:33",120,290,4.3,4.6,2.84,2.88,2.36,2.38
"29","18/09/2014 08:44:09",120,290,4.4,4.5,2.84,2.88,2.36,2.38
"30","18/09/2014 10:34:16",120,290,4.4,4.6,2.84,2.88,2.36,2.38
"31","18/09/2014 11:57:39",120,290,4.4,4.6,2.84,2.88,2.36,2.38
"32","18/09/2014 13:26:28",120,290,4.4,4.6,2.84,2.88,2.36,2.38
"33","18/09/2014 15:32:43",120,290,4.4,4.6,2.84,2.88,2.36,2.38
"34","18/09/2014 17:07:46",120,290,4.4,4.6,2.84,2.88,2.36,2.38
"35","18/09/2014 18:52:31",120,290,4.4,4.6,2.84,2.88,2.36,2.38
"36","18/09/2014 20:53:53",120,290,4.4,4.6,2.84,2.88,2.36,2.38
"37","18/09/2014 22:32:07",120,290,4.4,4.6,2.84,2.88,2.36,2.38
"38","18/09/2014 22:36:55",120,290,4.4,4.6,2.84,2.88,2.36,2.38
"39","18/09/2014 22:45:59",120,290,4.4,4.6,2.84,2.88,2.36,2.38
"40","18/09/2014 22:58:20",120,290,4.4,4.6,2.84,2.88,2.36,2.38
"41","18/09/2014 23:06:37",120,290,4.4,4.6,2.84,2.88,2.36,2.38
"42","18/09/2014 23:18:30",120,290,4.4,4.6,2.84,2.88,2.36,2.38
"43","18/09/2014 23:28:14",120,290,4.4,4.6,2.84,2.88,2.36,2.38
"44","19/09/2014 00:17:19",120,290,4.4,4.5,2.84,2.88,2.36,2.38
"45","19/09/2014 00:33:16",120,290,4.4,4.5,2.84,2.88,2.36,2.38
"46","19/09/2014 01:23:57",120,290,4.4,4.5,2.84,2.88,2.36,2.38
"47","19/09/2014 01:41:29",120,290,4.4,4.5,2.84,2.88,2.36,2.38
"48","19/09/2014 02:14:10",120,290,4.4,4.5,2.84,2.88,2.36,2.38
"49","19/09/2014 11:30:26",120,290,4.3,4.4,2.86,2.9,2.36,2.38
"50","21/09/2014 01:11:25",120,290,4.3,4.4,2.86,2.88,2.36,2.38
"51","21/09/2014 15:53:07",140,290,4.3,4.5,2.86,2.88,2.36,2.38
"52","21/09/2014 19:19:17",140,290,4.3,4.5,2.86,2.88,2.36,2.38
"53","22/09/2014 00:19:47",140,290,4.3,4.5,2.86,2.88,2.36,2.38
"54","22/09/2014 10:03:52",140,290,4.3,4.5,2.86,2.88,2.36,2.38
"55","23/09/2014 11:55:19",140,290,4.3,4.5,2.86,2.88,2.36,2.38
"56","24/09/2014 14:48:57",140,280,4.4,4.5,2.84,2.88,2.36,2.38
"57","24/09/2014 19:25:31",140,280,4.4,4.5,2.84,2.88,2.36,2.38
"58","25/09/2014 00:45:23",140,280,4.3,4.4,2.86,2.88,2.36,2.38
"59","26/09/2014 18:58:06",150,280,4.4,4.5,2.86,2.9,2.36,2.38
"60","28/09/2014 23:42:58",200,290,4.4,4.5,2.88,2.92,2.36,2.38
"61","29/09/2014 11:42:32",150,280,4.4,4.6,2.88,2.92,2.32,2.38
"62","30/09/2014 19:18:53",160,280,4.4,4.5,2.88,2.92,2.3,2.36
"63","01/10/2014 08:02:06",160,280,4.4,4.6,2.88,2.9,2.3,2.36
"64","02/10/2014 12:52:40",160,280,4.3,4.4,2.9,2.92,2.34,2.36
"65","02/10/2014 19:45:37",160,280,4.3,4.4,2.92,2.94,2.32,2.36
"66","03/10/2014 10:40:51",160,280,4.3,4.4,2.92,2.94,2.32,2.36
"67","03/10/2014 14:16:08",160,280,4.3,4.4,2.88,2.94,2.32,2.36
"68","04/10/2014 13:29:33",160,280,4.3,4.4,2.9,2.92,2.34,2.36
"69","05/10/2014 00:58:36",160,280,4.3,4.4,2.9,2.92,2.34,2.36
