"date_char","Any Other_Back","Any Other_Lay","Conservative_Back","Conservative_Lay","Labour_Back","Labour_Lay","Liberal Democrat_Back","Liberal Democrat_Lay"
"01/06/2014 20:46:19",95,160,2.1,2.14,1.9,1.93,430,960
"02/06/2014 10:54:39",95,160,2.1,2.14,1.9,1.93,430,960
"02/06/2014 19:24:07",95,150,2.12,2.16,1.9,1.93,430,960
"03/06/2014 08:25:46",95,150,2.1,2.12,1.92,1.93,430,970
"04/06/2014 10:03:12",95,180,2.12,2.16,1.91,1.93,430,960
"04/06/2014 16:22:15",95,180,2.12,2.14,1.9,1.93,430,960
"05/06/2014 14:44:15",95,180,2.12,2.14,1.9,1.91,450,960
"05/06/2014 23:50:43",95,180,2.12,2.16,1.89,1.91,450,960
"06/06/2014 14:56:26",100,260,2.12,2.18,1.86,1.9,450,960
"07/06/2014 00:00:36",100,240,2.12,2.18,1.86,1.93,440,850
"07/06/2014 20:25:50",100,180,2.08,2.14,1.9,1.94,440,850
"09/06/2014 21:16:54",110,170,2.06,2.12,1.92,1.96,430,840
"10/06/2014 08:10:39",110,170,2.06,2.12,1.92,1.96,440,840
"10/06/2014 20:51:57",110,180,2.02,2.12,1.92,2,440,840
"11/06/2014 13:38:34",110,160,2.02,2.14,1.93,2,480,840
"11/06/2014 18:52:18",110,180,2.04,2.1,1.93,1.98,480,840
"11/06/2014 20:28:21",110,180,2.04,2.14,1.93,1.98,480,840
"12/06/2014 10:22:25",120,180,2.02,2.1,1.94,1.99,480,830
"12/06/2014 19:19:27",120,180,2.04,2.12,1.93,1.99,470,800
"13/06/2014 13:05:16",120,180,2.06,2.1,1.93,1.98,480,800
"14/06/2014 10:03:48",120,180,2.04,2.1,1.93,1.99,480,800
"14/06/2014 22:03:55",120,180,2.04,2.1,1.95,1.99,480,800
"15/06/2014 01:01:16",120,180,2.04,2.1,1.95,1.98,480,800
"15/06/2014 12:01:01",120,180,2.04,2.12,1.93,1.98,480,800
"15/06/2014 15:27:42",120,180,2.04,2.12,1.93,1.97,480,800
"15/06/2014 22:19:04",120,170,2.06,2.12,1.93,1.97,480,800
"16/06/2014 00:54:42",120,170,2.04,2.12,1.93,1.98,480,800
"16/06/2014 09:08:24",120,170,2.04,2.12,1.93,1.98,480,800
"16/06/2014 12:14:42",130,170,2.04,2.12,1.93,1.98,480,800
"16/06/2014 15:08:29",130,170,2.04,2.12,1.92,1.98,480,800
"16/06/2014 17:00:49",130,170,2.04,2.12,1.92,1.98,480,800
"16/06/2014 19:45:28",130,170,2.04,2.12,1.91,1.98,480,800
"16/06/2014 22:04:18",130,170,2.04,2.12,1.91,1.98,480,800
"17/06/2014 10:15:21",130,170,2.06,2.1,1.93,1.97,480,800
"17/06/2014 15:49:48",130,170,2.06,2.1,1.93,1.96,480,800
"17/06/2014 21:59:21",130,170,2.06,2.1,1.93,1.96,480,800
"18/06/2014 12:15:21",130,170,2.08,2.12,1.91,1.96,480,790
"18/06/2014 20:01:57",130,170,2.08,2.16,1.89,1.95,440,840
"18/06/2014 22:25:35",130,170,2.08,2.16,1.89,1.95,440,840
"19/06/2014 15:40:09",130,170,2.08,2.16,1.9,1.95,440,840
"19/06/2014 19:08:23",130,170,2.08,2.1,1.93,1.95,440,840
"20/06/2014 10:55:21",130,180,2.08,2.16,1.9,1.94,440,790
"20/06/2014 16:53:17",130,180,2.08,2.16,1.9,1.95,440,790
"20/06/2014 20:02:22",130,180,2.08,2.16,1.9,1.95,440,790
"21/06/2014 09:45:28",130,180,2.08,2.14,1.91,1.95,440,790
"21/06/2014 13:28:54",130,180,2.1,2.14,1.91,1.95,440,790
"21/06/2014 16:10:32",130,180,2.1,2.14,1.91,1.94,440,790
"21/06/2014 19:53:11",130,180,2.1,2.14,1.91,1.94,440,790
"22/06/2014 09:57:16",130,180,2.08,2.14,1.91,1.94,440,790
"22/06/2014 19:34:10",140,180,2.08,2.14,1.91,1.94,440,790
"23/06/2014 12:11:06",130,180,2.1,2.14,1.91,1.93,440,790
"23/06/2014 16:42:31",130,180,2.1,2.2,1.87,1.93,440,790
"24/06/2014 11:18:38",130,170,2.1,2.18,1.87,1.94,440,710
"24/06/2014 16:56:16",130,170,2.1,2.18,1.88,1.93,440,710
"24/06/2014 20:11:47",130,170,2.1,2.18,1.89,1.93,440,710
"25/06/2014 12:11:51",130,180,2.1,2.12,1.92,1.94,440,710
"26/06/2014 16:06:01",130,180,2.06,2.12,1.92,1.96,440,710
"27/06/2014 18:00:22",130,180,2.08,2.12,1.92,1.94,360,710
"28/06/2014 08:27:38",140,180,2.08,2.12,1.92,1.94,360,710
"28/06/2014 15:28:31",140,180,2.08,2.12,1.92,1.93,360,710
"29/06/2014 09:13:41",140,180,2.08,2.12,1.92,1.94,360,710
"29/06/2014 20:47:29",140,180,2.08,2.12,1.92,1.94,140,710
"30/06/2014 16:30:55",140,180,2.08,2.12,1.92,1.94,140,710
"30/06/2014 19:56:07",140,180,2.08,2.12,1.92,1.94,140,710
"01/07/2014 16:44:13",140,180,2.08,2.12,1.92,1.95,95,710
"01/07/2014 17:55:48",140,180,2.08,2.12,1.92,1.95,95,1000
"01/07/2014 20:47:43",140,180,2.08,2.12,1.92,1.95,95,1000
"01/07/2014 23:50:21",140,170,2.08,2.12,1.92,1.95,95,1000
"02/07/2014 13:22:33",140,170,2.08,2.12,1.93,1.95,100,1000
"03/07/2014 09:36:08",140,180,2.08,2.12,1.93,1.95,100,1000
"03/07/2014 13:47:49",140,180,2.08,2.12,1.93,1.95,100,1000
"04/07/2014 09:30:44",140,180,2.06,2.1,1.94,1.96,95,1000
"05/07/2014 10:28:15",120,180,2.08,2.12,1.94,1.96,560,1000
"05/07/2014 16:53:24",100,180,2.08,2.12,1.93,1.96,560,1000
"05/07/2014 20:16:34",100,180,2.08,2.12,1.93,1.95,560,1000
"06/07/2014 00:14:01",100,180,2.08,2.12,1.93,1.95,560,1000
"06/07/2014 15:55:22",100,180,2.08,2.12,1.93,1.95,560,1000
"07/07/2014 10:04:39",100,180,2.08,2.12,1.93,1.95,560,1000
"07/07/2014 11:58:35",100,180,2.08,2.12,1.93,1.95,560,1000
"08/07/2014 09:21:54",100,180,2.08,2.12,1.93,1.94,580,1000
"08/07/2014 13:28:30",100,180,2.08,2.12,1.93,1.94,580,1000
"10/07/2014 10:10:07",100,170,2.08,2.12,1.93,1.95,590,1000
"10/07/2014 22:37:41",100,180,2.1,2.12,1.92,1.94,590,1000
"11/07/2014 16:26:29",100,180,2.08,2.12,1.92,1.94,250,1000
"12/07/2014 16:45:38",100,180,2.08,2.16,1.9,1.94,250,1000
"12/07/2014 19:20:08",100,180,2.1,2.18,1.87,1.94,250,1000
"13/07/2014 12:57:03",140,180,2.12,2.14,1.9,1.91,620,960
"15/07/2014 23:50:09",120,180,2.14,2.16,1.88,1.9,250,1000
"18/07/2014 09:19:58",100,180,2.14,2.16,1.89,1.9,260,1000
"21/07/2014 21:15:34",140,180,2.14,2.18,1.89,1.9,620,1000
"24/07/2014 23:28:53",130,180,2.16,2.18,1.88,1.89,630,1000
"27/07/2014 10:22:33",140,180,2.14,2.16,1.88,1.89,260,1000
"03/08/2014 09:52:45",100,150,2.18,2.22,1.85,1.87,660,1000
"06/08/2014 10:53:09",120,150,2.2,2.22,1.85,1.86,760,1000
"09/08/2014 09:59:05",110,150,2.18,2.22,1.85,1.87,770,1000
"09/08/2014 20:48:59",110,150,2.2,2.22,1.84,1.86,770,1000
"10/08/2014 22:15:21",95,150,2.18,2.22,1.85,1.87,770,1000
"11/08/2014 13:47:35",95,150,2.2,2.22,1.85,1.87,770,1000
"12/08/2014 10:41:11",95,140,2.18,2.22,1.85,1.87,770,1000
"12/08/2014 19:40:25",95,140,2.2,2.22,1.85,1.86,770,1000
"13/08/2014 19:25:40",95,140,2.2,2.22,1.85,1.86,770,1000
"14/08/2014 13:13:49",95,140,2.2,2.22,1.85,1.86,770,1000
"15/08/2014 19:22:00",95,140,2.18,2.22,1.85,1.87,770,1000
"16/08/2014 08:39:25",95,140,2.18,2.22,1.85,1.87,770,1000
"16/08/2014 14:56:57",110,140,2.18,2.22,1.85,1.87,770,1000
"16/08/2014 17:27:55",110,140,2.18,2.22,1.85,1.87,770,1000
