"date_char","Boris Johnson_Back","Boris Johnson_Lay","Chuka Umanna_Back","Chuka Umanna_Lay","David Cameron_Back","David Cameron_Lay","David Miliband_Back","David Miliband_Lay","Ed Balls_Back","Ed Balls_Lay","Ed Miliband_Back","Ed Miliband_Lay","George Osborne_Back","George Osborne_Lay","Michael Gove_Back","Michael Gove_Lay","Nick Clegg_Back","Nick Clegg_Lay","Nigel Farage_Back","Nigel Farage_Lay","Philip Hammond_Back","Philip Hammond_Lay","Theresa May_Back","Theresa May_Lay","Yvette Cooper_Back","Yvette Cooper_Lay"
"06/01/2015 17:16:06",1.01,NA,1.01,NA,1.84,1.99,1.01,NA,1.01,NA,2.14,2.34,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"06/01/2015 17:20:26",1.01,NA,1.01,NA,1.84,1.99,1.01,NA,1.01,NA,2.14,2.34,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"07/01/2015 17:14:54",1.01,NA,1.01,NA,1.84,1.9,1.01,NA,1.01,NA,2.16,2.38,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"08/01/2015 15:14:31",1.01,NA,1.01,NA,1.84,1.9,1.01,NA,1.01,NA,2.14,2.38,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"09/01/2015 09:47:34",1.01,NA,1.01,NA,1.84,1.9,1.01,NA,1.01,NA,2.14,2.3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"09/01/2015 20:11:32",1.01,NA,1.01,NA,1.84,1.9,1.01,NA,1.01,NA,2.14,2.3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"10/01/2015 10:57:56",1.01,NA,1.01,NA,1.85,1.9,1.01,NA,1.01,NA,2.14,2.3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"11/01/2015 10:47:32",1.01,NA,1.01,NA,1.85,1.9,1.01,NA,1.01,NA,2.14,2.3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"11/01/2015 22:21:21",1.01,NA,1.01,NA,1.84,1.9,1.01,NA,1.01,NA,2.14,2.3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"12/01/2015 11:04:13",1.01,NA,1.01,NA,1.85,1.89,1.01,NA,1.01,NA,2.14,2.3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"12/01/2015 12:28:06",1.01,NA,1.01,NA,1.85,1.89,1.01,NA,1.01,NA,2.14,2.3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"12/01/2015 19:48:00",1.01,NA,1.01,NA,1.84,1.99,1.01,NA,1.01,NA,2.06,2.14,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"14/01/2015 11:21:21",1.01,NA,1.01,NA,1.86,2.12,1.01,NA,1.01,NA,1.86,2.28,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"15/01/2015 12:26:43",1.01,NA,1.01,NA,1.84,2.02,1.01,NA,1.01,NA,1.88,2.28,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"15/01/2015 19:47:50",1.01,NA,1.01,NA,1.84,1.97,1.01,NA,1.01,NA,1.88,2.26,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"16/01/2015 17:04:57",1.01,NA,1.01,NA,1.85,1.96,1.01,NA,1.01,NA,1.9,2.22,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"17/01/2015 11:12:15",1.01,NA,1.01,NA,1.85,2.12,1.01,NA,1.01,NA,2,2.24,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"17/01/2015 13:51:37",1.01,NA,1.01,NA,1.85,2.12,1.01,NA,1.01,NA,2,2.24,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"17/01/2015 17:49:34",1.01,NA,1.01,NA,1.85,2.12,1.01,NA,1.01,NA,2,2.24,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"17/01/2015 23:36:40",1.01,NA,1.01,NA,1.85,2.12,1.01,NA,1.01,NA,2,2.3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"18/01/2015 11:32:35",1.01,NA,1.01,NA,1.85,2.1,1.01,NA,1.01,NA,2,2.3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"18/01/2015 22:21:44",1.01,NA,1.01,NA,1.85,2.1,1.01,NA,1.01,NA,2,2.3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"19/01/2015 12:58:41",1.01,NA,1.01,NA,1.85,2.1,1.01,NA,1.01,NA,1.91,2.3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"20/01/2015 09:13:00",1.01,NA,1.01,NA,1.85,2.04,1.01,NA,1.01,NA,2,2.26,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"20/01/2015 09:27:49",1.01,NA,1.01,NA,1.85,2.04,1.01,NA,1.01,NA,2,2.26,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"21/01/2015 11:07:50",1.01,NA,1.01,NA,1.84,1.95,1.01,NA,1.01,NA,2.06,2.26,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"21/01/2015 22:19:27",1.01,NA,1.01,NA,1.78,1.84,1.01,NA,1.01,NA,2.1,2.26,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"22/01/2015 14:01:31",1.01,NA,1.01,NA,1.81,1.84,1.01,NA,1.01,NA,2.12,2.26,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"23/01/2015 11:36:14",1.01,NA,1.01,NA,1.78,1.83,1.01,NA,1.01,NA,2.12,2.26,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"23/01/2015 20:22:38",1.01,NA,1.01,NA,1.8,1.91,1.01,NA,1.01,NA,2.22,2.5,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"24/01/2015 08:25:56",1.01,NA,1.01,NA,1.79,1.93,1.01,1000,1.01,NA,2.24,2.5,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"25/01/2015 09:53:33",1.01,NA,1.01,NA,1.71,1.78,1.01,1000,1.01,NA,2.22,2.36,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"25/01/2015 22:21:40",1.01,NA,1.01,NA,1.7,1.78,1.01,NA,1.01,NA,2.24,2.5,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"26/01/2015 17:49:14",1.01,NA,1.01,NA,1.72,1.77,1.01,NA,1.01,NA,2.26,3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"27/01/2015 11:38:30",1.01,NA,1.01,NA,1.66,1.74,1.01,NA,1.01,NA,2.32,3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"28/01/2015 10:30:39",1.01,NA,1.01,NA,1.68,1.7,1.01,NA,1.01,NA,2.32,3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4.1,NA,1.01,NA
"28/01/2015 23:36:30",1.01,NA,1.01,NA,1.66,1.71,1.01,NA,1.01,NA,2.32,3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4.1,NA,1.01,NA
"29/01/2015 15:33:50",1.01,NA,1.01,NA,1.66,1.73,1.01,NA,1.01,NA,2.32,2.42,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4.1,NA,1.01,NA
"30/01/2015 14:25:09",1.01,NA,1.01,NA,1.65,1.78,1.01,NA,1.01,NA,2.32,2.42,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"30/01/2015 19:01:16",1.01,NA,1.01,NA,1.65,1.78,1.01,NA,1.01,NA,2.32,2.42,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"31/01/2015 19:57:17",1.01,NA,1.01,NA,1.6,1.65,1.01,NA,1.01,NA,2.4,3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"01/02/2015 08:27:49",1.01,NA,1.01,NA,1.65,1.78,1.01,NA,1.01,NA,2.32,3,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"02/02/2015 11:52:02",1.01,NA,1.01,NA,1.6,1.67,1.01,NA,1.01,NA,2.42,2.64,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"03/02/2015 20:52:19",1.01,NA,1.01,NA,1.68,1.78,1.01,NA,1.01,NA,2.26,2.54,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"04/02/2015 12:38:09",1.01,NA,1.01,NA,1.69,1.78,1.01,NA,1.01,NA,2.26,2.54,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"05/02/2015 10:46:54",1.01,NA,1.01,NA,1.69,1.78,1.01,NA,1.01,NA,2.3,2.46,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"05/02/2015 19:00:26",1.01,NA,1.01,NA,1.7,1.78,1.01,NA,1.01,NA,2.3,2.42,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"06/02/2015 14:50:32",1.01,NA,1.01,NA,1.72,1.78,1.01,NA,1.01,NA,2.22,2.38,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"08/02/2015 19:15:40",1.01,NA,1.01,NA,1.66,1.78,1.01,NA,1.01,NA,2.32,2.6,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4.1,NA,1.01,NA
"09/02/2015 07:35:56",1.01,NA,1.01,NA,1.68,1.78,1.01,NA,1.01,NA,2.32,2.6,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4.1,NA,1.01,NA
"10/02/2015 09:31:48",1.01,NA,1.01,NA,1.72,1.78,1.01,NA,1.01,NA,2.32,2.5,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"11/02/2015 10:56:47",1.01,NA,1.01,NA,1.72,1.78,1.01,NA,1.01,NA,2.36,2.5,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"11/02/2015 23:52:46",1.01,NA,1.01,NA,1.68,1.74,1.01,NA,1.01,NA,2.4,2.5,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"12/02/2015 08:06:08",1.01,NA,1.01,NA,1.68,1.75,1.01,NA,1.01,NA,2.42,2.5,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"13/02/2015 09:48:08",1.01,NA,1.01,NA,1.7,1.77,1.01,NA,1.01,NA,2.4,2.5,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,4,NA,1.01,NA
"13/02/2015 18:40:50",1.01,NA,1.01,NA,1.72,1.77,1.01,NA,1.01,NA,2.36,2.48,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"14/02/2015 11:55:41",1.01,NA,1.01,NA,1.73,1.77,1.01,NA,1.01,NA,2.24,2.48,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"14/02/2015 20:42:24",1.01,NA,1.01,NA,1.75,1.78,1.01,NA,1.01,NA,2.24,2.48,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"15/02/2015 08:15:41",1.01,NA,1.01,NA,1.75,1.78,1.01,NA,1.01,NA,2.28,2.48,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"16/02/2015 10:39:12",1.01,NA,1.01,NA,1.75,1.78,1.01,NA,1.01,NA,2.32,2.46,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"16/02/2015 16:25:55",1.01,NA,1.01,NA,1.75,1.76,1.01,NA,1.01,NA,2.36,2.46,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"17/02/2015 09:31:19",1.01,NA,1.01,NA,1.7,1.75,1.01,NA,1.01,NA,2.36,2.46,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"18/02/2015 15:33:09",1.01,NA,1.01,NA,1.69,1.74,1.01,NA,1.01,NA,2.28,2.5,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"19/02/2015 11:39:52",1.01,NA,1.01,NA,1.69,1.74,1.01,NA,1.01,NA,2.36,2.48,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"19/02/2015 18:16:54",1.01,NA,1.01,NA,1.69,1.74,1.01,NA,1.01,NA,2.36,2.48,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"20/02/2015 08:35:01",50,NA,50,NA,1.7,1.85,50,NA,50,NA,2.38,2.48,1.01,NA,50,NA,50,NA,50,NA,50,NA,50,NA,50,NA
"20/02/2015 19:33:14",50,NA,50,NA,1.73,1.85,50,NA,50,NA,2.34,2.48,50,NA,50,NA,50,NA,50,NA,50,NA,50,NA,50,NA
"21/02/2015 13:47:12",1.01,NA,1.01,NA,1.72,1.78,1.01,NA,1.01,NA,2.32,2.48,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"22/02/2015 11:38:51",1.01,NA,1.01,NA,1.7,1.74,1.01,NA,1.01,NA,2.36,2.44,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
"22/02/2015 22:47:50",1.01,NA,1.01,NA,1.7,1.72,1.01,NA,1.01,NA,2.36,2.5,1.01,NA,1.01,NA,1.01,NA,1.03,NA,1.01,NA,1.01,NA,1.01,NA
