Next UK General Election - Most Seats 	Next UK General Election - Most Seats
Next UK General Election - Overall Majority 	Next UK General Election - Overall Majority
Next UK General Election - UKIP Seats 	Next UK General Election - UKIP Seats
2015 Prime Minister after Cameron - Prime Minister after Cameron	Prime Minister after Cameron - Prime Minister after Cameron
Next UK General Election - Most Seats	2015 UK General Election - Most Seats
Next UK General Election - Overall Majority	2015 UK General Election - Overall Majority
Next UK General Election - UKIP Seats	UK Seat Totals - UKIP Seats Total
Argyll and Bute - Argyll and Bute - Winner	Argyll and Bute - Winner
Aylesbury - Aylesbury - Winner	Aylesbury - Winner
Bolton West - Bolton West - Winner	Bolton West - Winner
Bradford East - Bradford East - Winner	Bradford East - Winner
Brent Central - Brent Central - Winner	Brent Central - Winner
Brighton Pavilion - Brighton Pavilion - Winner	Brighton Pavilion - Winner
Cambourne and Redruth - Cambourne and Redruth - Winner	Cambourne and Redruth - Winner
Cardiff North - Cardiff North - Winner	Cardiff North - Winner
Cardiff South and Penarth - Cardiff South and Penarth - Winner	Cardiff South and Penarth - Winner
Cheadle - Cheadle - Winner	Cheadle - Winner
Clacton - Clacton - Winner	Clacton - Winner
East Dunbartonshire - East Dunbartonshire - Winner	East Dunbartonshire - Winner
Eastleigh - Eastleigh - Winner	Eastleigh - Winner
Falkirk - Falkirk - Winner	Falkirk - Winner
Glasgow Central - Glasgow Central - Winner	Glasgow Central - Winner
Great Grimsby - Great Grimsby - Winner	Great Grimsby - Winner
Halifax - Halifax - Winner	Halifax - Winner
Hampstead and Kilburn - Hampstead and Kilburn - Winner	Hampstead and Kilburn - Winner
Heywood and Middleton - Heywood and Middleton - Winner	Heywood and Middleton - Winner
Manchester Withington - Manchester Withington - Winner	Manchester Withington - Winner
Norwich South - Norwich South - Winner	Norwich South - Winner
Watford - Watford - Winner	Watford - Winner
Wells - Wells - Winner	Wells - Winner
Argyll and Bute - Winner	Argyll and Bute - Argyll and Bute - Winner
Aylesbury - Winner	Aylesbury - Aylesbury - Winner
Bolton West - Winner	Bolton West - Bolton West - Winner
Bradford East - Winner	Bradford East - Bradford East - Winner
Brent Central - Winner	Brent Central - Brent Central - Winner
Brighton Pavilion - Winner	Brighton Pavilion - Brighton Pavilion - Winner
Cambourne and Redruth - Winner	Cambourne and Redruth - Cambourne and Redruth - Winner
Cardiff North - Winner	Cardiff North - Cardiff North - Winner
Cardiff South and Penarth - Winner	Cardiff South and Penarth - Cardiff South and Penarth - Winner
Cheadle - Winner	Cheadle - Cheadle - Winner
Clacton - Winner	Clacton - Clacton - Winner
East Dunbartonshire - Winner	East Dunbartonshire - East Dunbartonshire - Winner
Eastleigh - Winner	Eastleigh - Eastleigh - Winner
Falkirk - Winner	Falkirk - Falkirk - Winner
Glasgow Central - Winner	Glasgow Central - Glasgow Central - Winner
Great Grimsby - Winner	Great Grimsby - Great Grimsby - Winner
Halifax - Winner	Halifax - Halifax - Winner
Hampstead and Kilburn - Winner	Hampstead and Kilburn - Hampstead and Kilburn - Winner
Heywood and Middleton - Winner	Heywood and Middleton - Heywood and Middleton - Winner
Manchester Withington - Winner	Manchester Withington - Manchester Withington - Winner
Norwich South - Winner	Norwich South - Norwich South - Winner
Watford - Winner	Watford - Watford - Winner
Wells - Winner	Wells - Wells - Winner
Berwick Upon Tweed - Berwick Upon Tweed - Winner	Berwick Upon Tweed - Winner
Berwick Upon Tweed - Winner	Berwick Upon Tweed - Berwick Upon Tweed - Winner
Ceredigion - Ceredigion - Winner	Ceredigion - Winner
Ceredigion - Winner	Ceredigion - Ceredigion - Winner
Chippenham - Chippenham - Winner	Chippenham - Winner
Chippenham - Winner	Chippenham - Chippenham - Winner
Eastbourne - Eastbourne - Winner	Eastbourne - Winner
Eastbourne - Winner	Eastbourne - Eastbourne - Winner
Gordon - Gordon - Winner	Gordon - Winner
Gordon - Winner	Gordon - Gordon - Winner
Great Yarmouth - Great Yarmouth - Winner	Great Yarmouth - Winner
Great Yarmouth - Winner	Great Yarmouth - Great Yarmouth - Winner
Hendon - Hendon - Winner	Hendon - Winner
Hendon - Winner	Hendon - Hendon - Winner
Mid Dorset and North Poole - Mid Dorset and North Poole Winner	Mid Dorset and North Poole - Winner
Mid Dorset and North Poole - Winner	Mid Dorset and North Poole - Mid Dorset and North Poole Winner
North Warwickshire - North Warwickshire - Winner	North Warwickshire - Winner
North Warwickshire - Winner	North Warwickshire - North Warwickshire - Winner
Portsmouth South - Portsmouth South - Winner	Portsmouth South - Winner
Portsmouth South - Winner	Portsmouth South - Portsmouth South - Winner
Rochester and Strood - Rochester and Strood - Winner	Rochester and Strood - Winner
Rochester and Strood - Winner	Rochester and Strood - Rochester and Strood - Winner
Sheffield Hallam - Sheffield Hallam - Winner	Sheffield Hallam - Winner
Sheffield Hallam - Winner	Sheffield Hallam - Sheffield Hallam - Winner
Sherwood - Sherwood - Winner	Sherwood - Winner
Sherwood - Winner	Sherwood - Sherwood - Winner
Solihull - Solihull - Winner	Solihull - Winner
Solihull - Winner	Solihull - Solihull - Winner
Somerton and Frome - Somerton and Frome - Winner	Somerton and Frome - Winner
Somerton and Frome - Winner	Somerton and Frome - Somerton and Frome - Winner
South Thanet - South Thanet - Winner	South Thanet - Winner
South Thanet - Winner	South Thanet - South Thanet - Winner
Southampton Itchen - Southampton Itchen - Winner	Southampton Itchen - Winner
Southampton Itchen - Winner	Southampton Itchen - Southampton Itchen - Winner
St Austell and Newquay - St Austell and Newquay - Winner	St Austell and Newquay - Winner
St Austell and Newquay - Winner	St Austell and Newquay - St Austell and Newquay - Winner
Stockton South - Stockton South - Winner	Stockton South - Winner
Stockton South - Winner	Stockton South - Stockton South - Winner
Sutton and Cheam - Sutton and Cheam - Winner	Sutton and Cheam - Winner
Sutton and Cheam - Winner	Sutton and Cheam - Sutton and Cheam - Winner
Tatton - Tatton - Winner	Tatton - Winner
Tatton - Winner	Tatton - Tatton - Winner
Thurrock - Thurrock - Winner	Thurrock - Winner
Thurrock - Winner	Thurrock - Thurrock - Winner
Yeovil - Yeovil - Winner	Yeovil - Winner
Yeovil - Winner	Yeovil - Yeovil - Winner
Ynys Mon - Ynys Mon - Winner	Ynys Mon - Winner
Ynys Mon - Winner	Ynys Mon - Ynys Mon - Winner
Prime Minister after Cameron - Prime Minister after Cameron	Next Prime Minister - Next Prime Minister
Next Prime Minister - Next Prime Minister	Prime Minister after Cameron - Prime Minister after Cameron
London Mayoral Election 2016 - Winner	2016 London Mayoral Election - Winner
2016 London Mayoral Election - Winner	London Mayoral Election 2016 - Winner
Forest of Dean - Forest of Dean - Winner	Forest of Dean - Winner
Forest of Dean - Winner	Forest of Dean - Forest of Dean - Winner
