Next UK General Election - Overall Majority 	2015 UK General Election - Overall Majority
Next UK General Election - Overall Majority	2015 UK General Election - Overall Majority
07 May 2015 General Election - Overall Majority	2015 UK General Election - Overall Majority
2015 General Election - Overall Majority	2015 UK General Election - Overall Majority
07 May 2015 UK General Election - Overall Majority	2015 UK General Election - Overall Majority
Next UK General Election - Most Seats 	2015 UK General Election - Most Seats
Next UK General Election - Most Seats	2015 UK General Election - Most Seats
07 May 2015 General Election - Most Seats	2015 UK General Election - Most Seats
2015 General Election - Most Seats	2015 UK General Election - Most Seats
07 May 2015 UK General Election - Most Seats	2015 UK General Election - Most Seats
07 May 2015 General Election - Next Government	2015 UK General Election - Next Government
2015 General Election - Next Government	2015 UK General Election - Next Government
07 May 2015 UK General Election - Next Government	2015 UK General Election - Next Government
07 May 2015 General Election - Next Government Coalition Parties	2015 General Election - Next Government Coalition Parties
07 May 2015 General Election - Prime Minister After General Election	2015 UK General Election - Prime Minister After General Election
2015 General Election - Prime Minister After General Election	2015 UK General Election - Prime Minister After General Election
07 May 2015 UK General Election - Prime Minister After General Election	2015 UK General Election - Prime Minister After General Election
Next Prime Minister - Next Prime Minister	Prime Minister after Cameron - Prime Minister after Cameron
2015 Prime Minister after Cameron - Prime Minister after Cameron	Prime Minister after Cameron - Prime Minister after Cameron
London Mayoral Election 2016 - Winner - Winner	2016 London Mayoral Election - Winner
London Mayoral Election 2016 - Winner	2016 London Mayoral Election - Winner
2016 London Mayoral Election - Winner - Winner	2016 London Mayoral Election - Winner
2015 UK General Election - Electoral Bias?	2015 UK General Election - Electoral Bias
07 May 2015 General Election - Electoral Bias	2015 UK General Election - Electoral Bias
07 May 2015 2015 General Election - Electoral Bias	2015 UK General Election - Electoral Bias
2015 General Election - Electoral Bias	2015 UK General Election - Electoral Bias
07 May 2015 General Election - Party Leaders	2015 UK General Election - Party Leaders
2015 General Election - Party Leaders	2015 UK General Election - Party Leaders
07 May 2015 UK General Election - Party Leaders	2015 UK General Election - Party Leaders
07 May 2015 General Election - Two General Elections 2015?	2015 UK General Election - Two General Elections 2015?
2015 General Election - Two General Elections 2015?	2015 UK General Election - Two General Elections 2015?
07 May 2015 General Election - Registered Voter Turnout	2015 General Election - Registered Voter Turnout
2015 UK General Election - Voter Turnout	2015 General Election - Registered Voter Turnout
07 May 2015 General Election - To Win A Seat	2015 General Election - To Win A Seat
Argyll and Bute - Argyll and Bute - Winner	Argyll and Bute - Winner
Aylesbury - Aylesbury - Winner	Aylesbury - Winner
Bolton West - Bolton West - Winner	Bolton West - Winner
Bradford East - Bradford East - Winner	Bradford East - Winner
Brent Central - Brent Central - Winner	Brent Central - Winner
Brighton Pavilion - Brighton Pavilion - Winner	Brighton Pavilion - Winner
Cambourne and Redruth - Cambourne and Redruth - Winner	Cambourne and Redruth - Winner
Cardiff North - Cardiff North - Winner	Cardiff North - Winner
Cardiff South and Penarth - Cardiff South and Penarth - Winner	Cardiff South and Penarth - Winner
Cheadle - Cheadle - Winner	Cheadle - Winner
Clacton - Clacton - Winner	Clacton - Winner
East Dunbartonshire - East Dunbartonshire - Winner	East Dunbartonshire - Winner
Eastleigh - Eastleigh - Winner	Eastleigh - Winner
Falkirk - Falkirk - Winner	Falkirk - Winner
Glasgow Central - Glasgow Central - Winner	Glasgow Central - Winner
Great Grimsby - Great Grimsby - Winner	Great Grimsby - Winner
Halifax - Halifax - Winner	Halifax - Winner
Hampstead and Kilburn - Hampstead and Kilburn - Winner	Hampstead and Kilburn - Winner
Heywood and Middleton - Heywood and Middleton - Winner	Heywood and Middleton - Winner
Manchester Withington - Manchester Withington - Winner	Manchester Withington - Winner
Norwich South - Norwich South - Winner	Norwich South - Winner
Watford - Watford - Winner	Watford - Winner
Wells - Wells - Winner	Wells - Winner
Berwick Upon Tweed - Berwick Upon Tweed - Winner	Berwick Upon Tweed - Winner
Ceredigion - Ceredigion - Winner	Ceredigion - Winner
Chippenham - Chippenham - Winner	Chippenham - Winner
Eastbourne - Eastbourne - Winner	Eastbourne - Winner
Gordon - Gordon - Winner	Gordon - Winner
Great Yarmouth - Great Yarmouth - Winner	Great Yarmouth - Winner
Hendon - Hendon - Winner	Hendon - Winner
Mid Dorset and North Poole - Mid Dorset and North Poole Winner	Mid Dorset and North Poole - Winner
North Warwickshire - North Warwickshire - Winner	North Warwickshire - Winner
Portsmouth South - Portsmouth South - Winner	Portsmouth South - Winner
Rochester and Strood - Rochester and Strood - Winner	Rochester and Strood - Winner
Sheffield Hallam - Sheffield Hallam - Winner	Sheffield Hallam - Winner
Sherwood - Sherwood - Winner	Sherwood - Winner
Solihull - Solihull - Winner	Solihull - Winner
Somerton and Frome - Somerton and Frome - Winner	Somerton and Frome - Winner
South Thanet - South Thanet - Winner	South Thanet - Winner
Southampton Itchen - Southampton Itchen - Winner	Southampton Itchen - Winner
St Austell and Newquay - St Austell and Newquay - Winner	St Austell and Newquay - Winner
Stockton South - Stockton South - Winner	Stockton South - Winner
Sutton and Cheam - Sutton and Cheam - Winner	Sutton and Cheam - Winner
Tatton - Tatton - Winner	Tatton - Winner
Thurrock - Thurrock - Winner	Thurrock - Winner
Yeovil - Yeovil - Winner	Yeovil - Winner
Ynys Mon - Ynys Mon - Winner	Ynys Mon - Winner
Forest of Dean - Forest of Dean - Winner	Forest of Dean - Winner
Next UK General Election - UKIP Seats 	UK Seat Totals - UKIP Seats Total
Next UK General Election - UKIP Seats	UK Seat Totals - UKIP Seats Total
