Name;MP;Region;County Area;Electorate;CON;LAB;LIB;NAT;MIN;OTH
Aldershot;Gerald Howarth;19;Hampshire;66122;17818;8813;11572;0;0;2319
Aldridge-Brownhills;Richard Shepherd;9;Black Country;58274;17868;12261;4716;0;0;2479
Altrincham and Sale West;Graham Brady;6;Central Manchester;65811;20333;12716;9578;0;0;737
Amber Valley;Judy Mallaber;10;Derbyshire;68794;14657;20263;5242;0;0;3093
Arundel and South Downs;Nick Herbert;20;West Sussex;73543;25666;8327;13251;0;0;3022
Ashfield;Geoff Hoon;10;Nottinghamshire;74580;10484;20863;5945;0;0;5568
Ashford;Damien Green;20;Kent;75580;24933;13121;7837;0;0;3246
Ashton under Lyne;David Heyes;6;Eastern Manchester;67113;6984;20380;3811;0;0;3289
Aylesbury;David Liddington;14;Buckinghamshire;76262;22716;8840;13963;0;0;2490
Banbury;Tony Baldry;15;Oxfordshire;83330;25143;15409;9180;0;0;3999
Barking;Margaret Hodge;16;Barking and Dagenham;75382;6073;17760;4622;0;6608;2952
Barnsley Central;Eric Illsley;8;South Yorkshire;64698;5206;18996;6159;0;0;1797
Barnsley East;Jeff Ennis;8;South Yorkshire;65781;4215;23322;4754;0;0;1195
Barrow and Furness;John Hutton;4;Cumbria;64903;12732;17413;6825;0;0;1679
Basildon and Billericay;John Baron;14;Essex;64873;16454;12866;4831;0;1805;3096
Basildon South and East Thurrock;Angela Smith;14;Essex;71107;16901;17364;4959;0;249;2447
Basingstoke;Maria Miller;19;Hampshire;69353;17198;14183;9622;0;0;2710
Bassetlaw;John Mann;10;Nottinghamshire;76203;16228;23387;5580;0;0;0
Bath;Don Foster;15;Bristol area;60184;13309;5766;19081;0;2225;898
Batley and Spen;Mike Wood;7;West Yorkshire;73446;13915;20381;6670;0;1364;3375
Battersea;Martin Linton;17;Wandsworth;69488;16347;16610;5984;0;0;2079
Beaconsfield;Dominic Grieve;14;Buckinghamshire;72225;24834;8707;10191;0;0;2253
Beckenham;Jacqui Lait;17;Bromley;63738;24596;9040;6287;0;0;1705
Bedford;Patrick Hall;13;Bedfordshire;71551;14260;17755;9384;0;0;1302
Bedfordshire Mid;Nadine Dorries;13;Bedfordshire;73312;23781;11150;11455;0;0;3714
Bedfordshire North East;Alastair Burt;13;Bedfordshire;72297;24202;12478;10533;0;0;1980
Bedfordshire South West;Andrew Selous;13;Bedfordshire;74095;22114;13837;7725;0;0;2140
Bermondsey and Old Southwark;Simon Hughes;17;Southwark;73944;4689;11645;17336;0;0;2742
Berwick-upon-Tweed;Alan Beith;4;Northumberland;57438;10551;6754;19094;0;0;36
Bethnal Green and Bow;George Galloway;16;Tower Hamlets;73280;4459;13060;4685;0;14903;1939
Beverley and Holderness;Graham Stuart;8;Humber area;77419;20226;17845;9766;0;0;2359
Bexhill and Battle;Greg Barker;20;East Sussex;74934;27481;8670;11361;0;0;2872
Bexleyheath and Crayford;David Evennett;17;Bexley;64990;19488;14531;5567;0;0;2488
Birkenhead;Frank Field;5;Merseyside;63416;5364;20498;6075;0;0;138
Birmingham Edgbaston;Gisela Stuart;9;Birmingham;67334;15071;16663;5052;0;0;1868
Birmingham Erdington;Sion Simon;9;Birmingham;65815;7337;17035;5108;0;0;2769
Birmingham Hall Green;Roger Godsiff;9;Birmingham;74132;6740;16659;11470;0;4457;2243
Birmingham Hodge Hill;Liam Byrne;9;Birmingham;73712;4053;18690;9369;0;2646;3465
Birmingham Ladywood;Clare Short;9;Birmingham;64814;2822;16010;9572;0;1191;1791
Birmingham Northfield;Richard Burden;9;Birmingham;70965;12015;20198;5265;0;0;3225
Birmingham Perry Barr;Khalid Mahmood;9;Birmingham;71376;6670;18304;10052;0;0;3802
Birmingham Selly Oak;Stephen McCabe;9;Birmingham;72511;12937;20925;7835;0;0;1725
Birmingham Yardley;John Hemming;9;Birmingham;71381;3919;13926;17491;0;2204;2491
Bishop Auckland;Helen Goodman;4;Durham;67557;8739;19076;9024;0;0;1309
Blackburn;Jack Straw;5;Lancashire;72441;9292;17423;8578;0;0;5912
Blackley and Broughton;Graham Stringer;6;Central Manchester;65596;3400;18503;6188;0;0;1413
Blackpool North and Cleveleys;Joan Humble;5;Lancashire;65629;13762;16642;5227;0;0;1717
Blackpool South;Gordon Marsden;5;Lancashire;63311;10186;16224;5180;0;0;1433
Blaydon;David Anderson;4;Newcastle area;66727;3289;21180;15569;0;0;1172
Blyth Valley;Ronnie Campbell;4;Northumberland;63640;4983;19658;11132;0;0;0
Bognor Regis and Littlehampton;Nick Gibb;20;West Sussex;69008;19633;10662;9505;0;0;3286
Bolsover;Dennis Skinner;10;Derbyshire;70249;6934;26501;6906;0;0;0
Bolton North East;David Crausby;6;Western Manchester;69284;13034;17506;6079;0;0;1225
