"Name","Region","Electorate_05","CON_05","LAB_05","LIB_05","NAT_05","MIN_05","OTH_05","Abstained_05","Winner_05","CON_share_05","LAB_share_05","LIB_share_05","NAT_share_05","MIN_share_05","OTH_share_05","CON_share_all_05","LAB_share_all_05","LIB_share_all_05","NAT_share_all_05","MIN_share_all_05","OTH_share_all_05","Abstained_share_all_05","Electorate_10","CON_10","LAB_10","LIB_10","NAT_10","MIN_10","OTH_10","Abstained_10","Winner_10","CON_share_10","LAB_share_10","LIB_share_10","NAT_share_10","MIN_share_10","OTH_share_10","CON_share_all_10","LAB_share_all_10","LIB_share_all_10","NAT_share_all_10","MIN_share_all_10","OTH_share_all_10","Abstained_share_all_10"
"Aberavon",12,51079,3062,18077,4138,3546,0,1278,20978,"LAB",10.1724195209461,60.0544832397595,13.7470515929703,11.7803395236039,0,4.24570612272018,5.99463576029288,35.3902778049688,8.10117660878247,6.94218759176961,0,2.50200669551088,41.0697155386754,50789,4411,16073,5034,2198,1276,1966,19831,"LAB",14.2483364558434,51.9187286000388,16.2607403579043,7.09994185670909,4.12171328897216,6.35053944053233,8.68495146586859,31.6466163933135,9.91159503041997,4.32770875583296,2.51235503750812,3.87091693083148,39.0458563862254
"Aberconwy",12,43230,7926,8853,5583,3335,0,1209,16324,"LAB",29.4581134319483,32.9034416115365,20.7500185832156,12.3950048316361,0,4.49342154166357,18.3344899375434,20.4788341429563,12.9146426092991,7.71455008096229,0,2.79666897987509,37.7608142493639,44593,10734,7336,5786,5341,0,769,14627,"CON",35.8205966762331,24.4810785556965,19.3085496896483,17.8235333377828,0,2.56624174063939,24.071042540309,16.4510124907497,12.975130625883,11.9772161550019,0,1.72448590585966,32.8011122821968
"Aberdeen North",1,65714,3456,15557,8762,8168,0,691,29080,"LAB",9.43385925642846,42.4660151771578,23.9176721078779,22.2962275481793,0,1.8862259103565,5.25915330066652,23.673798581733,13.3335362327662,12.4296192592142,0,1.05152631098396,44.2523663146361,64808,4666,16746,7001,8385,0,903,27107,"LAB",12.3763295403305,44.417919949073,18.56979920957,22.2407893689823,0,2.39516193204424,7.19972842858906,25.8394025428959,10.8026786816442,12.9382175040119,0,1.39334650043205,41.8266263424269
"Aberdeen South",1,67012,7134,15272,13924,4120,0,1171,25391,"LAB",17.1403858629057,36.6930155450374,33.4542658753994,9.89884913865597,0,2.81348357800149,10.6458544738256,22.7899480690026,20.778368053483,6.14815256968901,0,1.74744821822957,37.8902286157703,64031,8914,15722,12216,5102,0,1080,20997,"LAB",20.7138541618255,36.5339034251987,28.3868569038435,11.8557419714644,0,2.50964353766789,13.9213818306758,24.5537317861661,19.0782589683122,7.96801549249582,0,1.68668301291562,32.7919289094345
"Aberdeenshire West and Kincardine",1,65548,11814,5470,19285,4700,0,379,23900,"LIB",28.3663081060315,13.1338839800231,46.3047445255474,11.2850557049558,0,0.910007683442182,18.0234332092512,8.34502959663148,29.421187526698,7.17031793494843,0,0.578202233477757,36.4618294989931,66110,13678,6159,17362,7086,0,910,20915,"LIB",30.2644097798429,13.627613674079,38.4157539550835,15.6787255227348,0,2.01349706825976,20.6897594917562,9.31629103010135,26.2622901225231,10.7184994705793,0,1.37649372258357,31.6366661624565
"Airdrie and Shotts",2,61955,3271,19568,3792,5484,0,1043,28797,"LAB",9.86488931781169,59.0144158272513,11.4361541709391,16.5389951143012,0,3.1455455696966,5.27963844726011,31.5842143491244,6.12057138245501,8.85158582842386,0,1.68347994512146,46.4805100476152,62364,3133,20849,2898,8441,0,528,26515,"LAB",8.73943485173924,58.1578286702558,8.08390750090658,23.5459845462914,0,1.472844430807,5.02373164004875,33.4311461740748,4.64691167981528,13.5350522737477,0,0.846642293630941,42.5165159386826
"Aldershot",19,66122,17818,8813,11572,0,0,2319,25600,"CON",43.9711761512265,21.7486797295296,28.5573268841617,0,0,5.72281723508218,26.9471582831735,13.3283929705696,17.5009830313663,0,0,3.50715344363449,38.7163122712562,71469,21203,5489,15617,0,2041,1034,26085,"CON",46.7191080557024,12.094570773841,34.410805570245,0,4.49717962277455,2.27833597743698,29.6674082469322,7.68025297681512,21.8514320894374,0,2.85578362646742,1.44678112188501,36.4983419384628
"Aldridge-Brownhills",9,58274,17868,12261,4716,0,0,2479,20950,"CON",47.8726824563284,32.8501768299218,12.6353016825635,0,0,6.64183903118637,30.662044822734,21.0402580910869,8.09280296530185,0,0,4.25404125338916,35.9508528674881,59355,22913,7647,6833,0,0,1241,20721,"CON",59.3078635398872,19.7934461872962,17.6864937619713,0,0,3.21219651084537,38.6033190127201,12.8834975991913,11.5120882823688,0,0,2.09080953584365,34.9102855698762
"Altrincham and Sale West",6,65811,20333,12716,9578,0,0,737,22447,"CON",46.8891246195,29.323863112259,22.0874458075823,0,0,1.69956646065861,30.8960508121743,19.321997842306,14.5537979972953,0,0,1.11987357736549,34.108279770859,71254,24176,11073,12581,0,0,1563,21861,"CON",48.9462069524022,22.4181564189258,25.4712206183062,0,0,3.16441601036584,33.9293232660623,15.5401802004098,17.6565526145901,0,0,2.19356106323856,30.6803828556993
"Alyn and Deeside",12,58936,8954,17333,6174,1317,0,1717,23441,"LAB",25.226088181434,48.832229891534,17.3939991548105,3.71038174390759,0,4.83730102831385,15.19275145921,29.4098683317497,10.4757703271345,2.23462739242568,0,2.91332971358762,39.7736527758925,60931,12885,15804,7308,1549,1368,1009,21008,"LAB",32.2746286601708,39.5862034416251,18.305237582346,3.8799689402099,3.42659619768054,2.52736517796759,21.1468710508608,25.9375359012654,11.9938947333869,2.54221988807011,2.24516256092958,1.65597150875581,34.4783443567314
