"Outcome", "Probability", "Date"
"Labour majority",22,"2015-04-01 09:33:32"
"Conservative majority",21,"2015-04-01 09:33:32"
"Con/Nat coalition",14,"2015-04-01 09:33:32"
"Lab/Nat coalition",14,"2015-04-01 09:33:32"
"Lab choice of Lib/Nat",11,"2015-04-01 09:33:32"
"Nat choice of Con/Lab",10,"2015-04-01 09:33:32"
"Con choice of Lib/Nat",8,"2015-04-01 09:33:32"
"No overall control",1,"2015-04-01 09:33:32"
"Labour majority",22,"2015-04-01 12:44:10"
"Conservative majority",21,"2015-04-01 12:44:10"
"Con/Nat coalition",14,"2015-04-01 12:44:10"
"Lab/Nat coalition",14,"2015-04-01 12:44:10"
"Lab choice of Lib/Nat",11,"2015-04-01 12:44:10"
"Nat choice of Con/Lab",10,"2015-04-01 12:44:10"
"Con choice of Lib/Nat",8,"2015-04-01 12:44:10"
"No overall control",1,"2015-04-01 12:44:10"
"Labour majority",22,"2015-04-01 23:36:09"
"Conservative majority",21,"2015-04-01 23:36:09"
"Con/Nat coalition",14,"2015-04-01 23:36:09"
"Lab/Nat coalition",14,"2015-04-01 23:36:09"
"Lab choice of Lib/Nat",11,"2015-04-01 23:36:09"
"Nat choice of Con/Lab",10,"2015-04-01 23:36:09"
"Con choice of Lib/Nat",8,"2015-04-01 23:36:09"
"No overall control",2,"2015-04-01 23:36:09"
"Labour majority",22,"2015-04-02 11:16:48"
"Conservative majority",21,"2015-04-02 11:16:48"
"Con/Nat coalition",14,"2015-04-02 11:16:48"
"Lab/Nat coalition",14,"2015-04-02 11:16:48"
"Lab choice of Lib/Nat",11,"2015-04-02 11:16:48"
"Nat choice of Con/Lab",10,"2015-04-02 11:16:48"
"Con choice of Lib/Nat",8,"2015-04-02 11:16:48"
"No overall control",2,"2015-04-02 11:16:48"
"Labour majority",22,"2015-04-02 14:40:23"
"Conservative majority",21,"2015-04-02 14:40:23"
"Con/Nat coalition",14,"2015-04-02 14:40:23"
"Lab/Nat coalition",14,"2015-04-02 14:40:23"
"Lab choice of Lib/Nat",11,"2015-04-02 14:40:23"
"Nat choice of Con/Lab",10,"2015-04-02 14:40:23"
"Con choice of Lib/Nat",8,"2015-04-02 14:40:23"
"No overall control",2,"2015-04-02 14:40:23"
"Labour majority",22,"2015-04-03 10:38:53"
"Conservative majority",21,"2015-04-03 10:38:53"
"Con/Nat coalition",15,"2015-04-03 10:38:53"
"Lab/Nat coalition",14,"2015-04-03 10:38:53"
"Lab choice of Lib/Nat",10,"2015-04-03 10:38:53"
"Nat choice of Con/Lab",10,"2015-04-03 10:38:53"
"Con choice of Lib/Nat",7,"2015-04-03 10:38:53"
"No overall control",1,"2015-04-03 10:38:53"
