"","Party","BPI","date"
"1","CON",0.343176872862916,2015-04-26 00:02:25
"2","LAB",0.285359030152316,2015-04-26 00:02:25
"3","SNP",0.285359030152316,2015-04-26 00:02:25
"4","LD",0.0248678893378924,2015-04-26 00:02:25
"5","DUP",0.0248678893378924,2015-04-26 00:02:25
"6","UKIP",0,2015-04-26 00:02:25
"7","SDLP",0.00683866956792042,2015-04-26 00:02:25
"8","GRN",0,2015-04-26 00:02:25
"9","SPK",0,2015-04-26 00:02:25
"10","IND",0,2015-04-26 00:02:25
"11","SF",0.018029219769972,2015-04-26 00:02:25
"12","ALI",0,2015-04-26 00:02:25
"13","PC",0.0115013988187753,2015-04-26 00:02:25
"14","CON",0.363469761759316,2015-04-25 00:02:24
"15","LAB",0.252596212583995,2015-04-25 00:02:24
"16","SNP",0.252596212583995,2015-04-25 00:02:24
"17","LD",0.0507025045815516,2015-04-25 00:02:24
"18","DUP",0.048564447159438,2015-04-25 00:02:24
"19","UKIP",0,2015-04-25 00:02:24
"20","SDLP",0.00702504581551619,2015-04-25 00:02:24
"21","GRN",0,2015-04-25 00:02:24
"22","SPK",0,2015-04-25 00:02:24
"23","IND",0,2015-04-25 00:02:24
"24","SF",0.018020769700672,2015-04-25 00:02:24
"25","ALI",0,2015-04-25 00:02:24
"26","PC",0.00702504581551619,2015-04-25 00:02:24
"27","CON",0.343176872862916,2015-04-24 00:02:25
"28","LAB",0.285359030152316,2015-04-24 00:02:25
"29","SNP",0.285359030152316,2015-04-24 00:02:25
"30","LD",0.0248678893378924,2015-04-24 00:02:25
"31","DUP",0.0248678893378924,2015-04-24 00:02:25
"32","UKIP",0,2015-04-24 00:02:25
"33","SDLP",0.00683866956792042,2015-04-24 00:02:25
"34","GRN",0,2015-04-24 00:02:25
"35","SPK",0,2015-04-24 00:02:25
"36","IND",0,2015-04-24 00:02:25
"37","SF",0.018029219769972,2015-04-24 00:02:25
"38","ALI",0,2015-04-24 00:02:25
"39","PC",0.0115013988187753,2015-04-24 00:02:25
"40","CON",0.343176872862916,2015-04-23 00:02:25
"41","LAB",0.285359030152316,2015-04-23 00:02:25
"42","SNP",0.285359030152316,2015-04-23 00:02:25
"43","LD",0.0248678893378924,2015-04-23 00:02:25
"44","DUP",0.0248678893378924,2015-04-23 00:02:25
"45","UKIP",0,2015-04-23 00:02:25
"46","SDLP",0.00683866956792042,2015-04-23 00:02:25
"47","GRN",0,2015-04-23 00:02:25
"48","SPK",0,2015-04-23 00:02:25
"49","IND",0,2015-04-23 00:02:25
"50","SF",0.018029219769972,2015-04-23 00:02:25
"51","ALI",0,2015-04-23 00:02:25
"52","PC",0.0115013988187753,2015-04-23 00:02:25
"53","CON",0.345460103943748,2015-04-22 00:02:26
"54","LAB",0.273616630999694,2015-04-22 00:02:26
"55","SNP",0.273616630999694,2015-04-22 00:02:26
"56","LD",0.0324059920513604,2015-04-22 00:02:26
"57","DUP",0.0321002751452155,2015-04-22 00:02:26
"58","UKIP",0,2015-04-22 00:02:26
"59","SDLP",0.0107000917150718,2015-04-22 00:02:26
"60","GRN",0,2015-04-22 00:02:26
"61","SPK",0,2015-04-22 00:02:26
"62","IND",0,2015-04-22 00:02:26
"63","SF",0.0192601650871293,2015-04-22 00:02:26
"64","ALI",0,2015-04-22 00:02:26
"65","PC",0.0128401100580862,2015-04-22 00:02:26
"66","CON",0.351203167834298,2015-04-21 00:02:25
"67","LAB",0.264392324093817,2015-04-21 00:02:25
"68","SNP",0.264392324093817,2015-04-21 00:02:25
"69","LD",0.0392933292720073,2015-04-21 00:02:25
"70","DUP",0.0371611331099604,2015-04-21 00:02:25
"71","UKIP",0,2015-04-21 00:02:25
"72","SDLP",0.0109655802619555,2015-04-21 00:02:25
"73","GRN",0,2015-04-21 00:02:25
"74","SPK",0,2015-04-21 00:02:25
"75","IND",0,2015-04-21 00:02:25
"76","SF",0.0194943649101432,2015-04-21 00:02:25
"77","ALI",0,2015-04-21 00:02:25
"78","PC",0.0130977764240024,2015-04-21 00:02:25
"79","CON",0.341949548427281,2015-04-20 00:02:24
"80","LAB",0.286203674867642,2015-04-20 00:02:24
"81","SNP",0.284023668639053,2015-04-20 00:02:24
"82","LD",0.0252257863593896,2015-04-20 00:02:24
"83","DUP",0.0252257863593896,2015-04-20 00:02:24
"84","UKIP",0,2015-04-20 00:02:24
"85","SDLP",0.00716287760822174,2015-04-20 00:02:24
"86","GRN",0,2015-04-20 00:02:24
"87","SPK",0,2015-04-20 00:02:24
"88","IND",0,2015-04-20 00:02:24
"89","SF",0.0183743382123949,2015-04-20 00:02:24
"90","ALI",0,2015-04-20 00:02:24
"91","PC",0.0118343195266272,2015-04-20 00:02:24
"92","CON",0.334803149606299,2015-04-19 00:02:25
"93","LAB",0.299212598425197,2015-04-19 00:02:25
"94","SNP",0.292283464566929,2015-04-19 00:02:25
"95","LD",0.0192125984251969,2015-04-19 00:02:25
"96","DUP",0.0192125984251969,2015-04-19 00:02:25
"97","UKIP",0,2015-04-19 00:02:25
"98","SDLP",0.00598425196850394,2015-04-19 00:02:25
"99","GRN",0,2015-04-19 00:02:25
"100","SPK",0,2015-04-19 00:02:25
"101","IND",0,2015-04-19 00:02:25
"102","SF",0.017007874015748,2015-04-19 00:02:25
"103","ALI",0,2015-04-19 00:02:25
"104","PC",0.0122834645669291,2015-04-19 00:02:25
"105","CON",0.337783297112698,2015-04-18 00:02:24
"106","LAB",0.286867432474387,2015-04-18 00:02:24
"107","SNP",0.280037255510711,2015-04-18 00:02:24
"108","LD",0.0266997826761875,2015-04-18 00:02:24
"109","DUP",0.0266997826761875,2015-04-18 00:02:24
"110","UKIP",0,2015-04-18 00:02:24
"111","SDLP",0.00869295249922384,2015-04-18 00:02:24
"112","GRN",0,2015-04-18 00:02:24
"113","SPK",0,2015-04-18 00:02:24
"114","IND",0,2015-04-18 00:02:24
"115","SF",0.0198696057125116,2015-04-18 00:02:24
"116","ALI",0,2015-04-18 00:02:24
"117","PC",0.0133498913380938,2015-04-18 00:02:24
"118","CON",0.328992248062015,2015-04-17 00:02:25
"119","LAB",0.294263565891473,2015-04-17 00:02:25
"120","SNP",0.28062015503876,2015-04-17 00:02:25
"121","LD",0.0251162790697674,2015-04-17 00:02:25
"122","DUP",0.0251162790697674,2015-04-17 00:02:25
"123","UKIP",0,2015-04-17 00:02:25
"124","SDLP",0.0114728682170543,2015-04-17 00:02:25
"125","GRN",0,2015-04-17 00:02:25
"126","SPK",0,2015-04-17 00:02:25
"127","IND",0,2015-04-17 00:02:25
"128","SF",0.0229457364341085,2015-04-17 00:02:25
"129","ALI",0,2015-04-17 00:02:25
"130","PC",0.0114728682170543,2015-04-17 00:02:25
"131","CON",0.359232175502742,2015-04-16 00:02:25
"132","LAB",0.256855575868373,2015-04-16 00:02:25
"133","SNP",0.256855575868373,2015-04-16 00:02:25
"134","LD",0.0472273004265692,2015-04-16 00:02:25
"135","DUP",0.0469226081657526,2015-04-16 00:02:25
"136","UKIP",0,2015-04-16 00:02:25
"137","SDLP",0.00822669104204753,2015-04-16 00:02:25
"138","GRN",0,2015-04-16 00:02:25
"139","SPK",0,2015-04-16 00:02:25
"140","IND",0,2015-04-16 00:02:25
"141","SF",0.0210237659963437,2015-04-16 00:02:25
"142","ALI",0,2015-04-16 00:02:25
"143","PC",0.0036563071297989,2015-04-16 00:02:25
"144","CON",0.375571123971977,2015-04-15 00:02:22
"145","LAB",0.238805970149254,2015-04-15 00:02:22
"146","SNP",0.238805970149254,2015-04-15 00:02:22
"147","LD",0.0636612854096863,2015-04-15 00:02:22
"148","DUP",0.0566554980201036,2015-04-15 00:02:22
"149","UKIP",0,2015-04-15 00:02:22
"150","SDLP",0.00974718245507158,2015-04-15 00:02:22
"151","GRN",0,2015-04-15 00:02:22
"152","SPK",0,2015-04-15 00:02:22
"153","IND",0,2015-04-15 00:02:22
"154","SF",0.0118793786171185,2015-04-15 00:02:22
"155","ALI",0,2015-04-15 00:02:22
"156","PC",0.00487359122753579,2015-04-15 00:02:22
"157","CON",0.34863789409244,2015-04-14 00:02:25
"158","LAB",0.270278543005816,2015-04-14 00:02:25
"159","SNP",0.269972451790634,2015-04-14 00:02:25
"160","LD",0.0355065809611264,2015-04-14 00:02:25
"161","DUP",0.0352004897459443,2015-04-14 00:02:25
"162","UKIP",0,2015-04-14 00:02:25
"163","SDLP",0.00918273645546373,2015-04-14 00:02:25
"164","GRN",0,2015-04-14 00:02:25
"165","SPK",0,2015-04-14 00:02:25
"166","IND",0,2015-04-14 00:02:25
"167","SF",0.0220385674931129,2015-04-14 00:02:25
"168","ALI",0,2015-04-14 00:02:25
"169","PC",0.00918273645546373,2015-04-14 00:02:25
"170","CON",0.355963302752294,2015-04-13 00:02:24
"171","LAB",0.26085626911315,2015-04-13 00:02:24
"172","SNP",0.260550458715596,2015-04-13 00:02:24
"173","LD",0.0431192660550459,2015-04-13 00:02:24
"174","DUP",0.0409785932721713,2015-04-13 00:02:24
"175","UKIP",0,2015-04-13 00:02:24
"176","SDLP",0.00856269113149847,2015-04-13 00:02:24
"177","GRN",0,2015-04-13 00:02:24
"178","SPK",0,2015-04-13 00:02:24
"179","IND",0,2015-04-13 00:02:24
"180","SF",0.0214067278287462,2015-04-13 00:02:24
"181","ALI",0,2015-04-13 00:02:24
"182","PC",0.00856269113149847,2015-04-13 00:02:24
"183","CON",0.334763948497854,2015-04-12 00:02:25
"184","LAB",0.279889638258737,2015-04-12 00:02:25
"185","SNP",0.264561618638872,2015-04-12 00:02:25
"186","LD",0.0361741263028817,2015-04-12 00:02:25
"187","DUP",0.0361741263028817,2015-04-12 00:02:25
"188","UKIP",0,2015-04-12 00:02:25
"189","SDLP",0.0116492949110975,2015-04-12 00:02:25
"190","GRN",0,2015-04-12 00:02:25
"191","SPK",0,2015-04-12 00:02:25
"192","IND",0,2015-04-12 00:02:25
"193","SF",0.0291232372777437,2015-04-12 00:02:25
"194","ALI",0,2015-04-12 00:02:25
"195","PC",0.00766400980993256,2015-04-12 00:02:25
"196","CON",0.334763948497854,2015-04-11 00:02:25
"197","LAB",0.279889638258737,2015-04-11 00:02:25
"198","SNP",0.264561618638872,2015-04-11 00:02:25
"199","LD",0.0361741263028817,2015-04-11 00:02:25
"200","DUP",0.0361741263028817,2015-04-11 00:02:25
"201","UKIP",0,2015-04-11 00:02:25
"202","SDLP",0.0116492949110975,2015-04-11 00:02:25
"203","GRN",0,2015-04-11 00:02:25
"204","SPK",0,2015-04-11 00:02:25
"205","IND",0,2015-04-11 00:02:25
"206","SF",0.0291232372777437,2015-04-11 00:02:25
"207","ALI",0,2015-04-11 00:02:25
"208","PC",0.00766400980993256,2015-04-11 00:02:25
"209","CON",0.350732600732601,2015-04-10 07:35:57
"210","LAB",0.262210012210012,2015-04-10 07:35:57
"211","SNP",0.255494505494505,2015-04-10 07:35:57
"212","LD",0.0448717948717949,2015-04-10 07:35:57
"213","DUP",0.0427350427350427,2015-04-10 07:35:57
"214","UKIP",0,2015-04-10 07:35:57
"215","SDLP",0.0103785103785104,2015-04-10 07:35:57
"216","GRN",0,2015-04-10 07:35:57
