"","date","text"
"1",2015-04-17 00:02:25,"Con 280, Lab 277, SNP 42, LD 27, DUP 8"
"2",2015-04-16 00:02:25,"Con 284, Lab 273, SNP 43, LD 26, DUP 9"
"3",2015-04-15 00:02:22,"Con 286, Lab 271, SNP 43, LD 26, DUP 9"
"4",2015-04-14 00:02:25,"Con 284, Lab 276, SNP 41, LD 25, DUP 8"
"5",2015-04-13 00:02:24,"Con 283, Lab 274, SNP 42, LD 27, DUP 8"
"6",2015-04-12 00:02:25,"Con 281, Lab 277, SNP 41, LD 28, DUP 8"
"7",2015-04-11 00:02:25,"Con 281, Lab 277, SNP 41, LD 28, DUP 8"
"8",2015-04-10 07:35:57,"Con 282, Lab 275, SNP 41, LD 28, DUP 8"
"9",2015-04-09 00:02:21,"Con 284, Lab 274, SNP 41, LD 28, DUP 8"
"10",2015-04-08 00:02:22,"Con 287, Lab 270, SNP 43, LD 27, DUP 8"
"11",2015-04-06 00:02:21,"Con 287, Lab 271, SNP 42, LD 27, DUP 8"
"12",2015-04-04 00:02:20,"Con 283, Lab 277, SNP 40, LD 26, DUP 8"
"13",2015-04-03 00:02:21,"Con 284, Lab 276, SNP 40, LD 26, DUP 8"
"14",2015-04-02 08:57:44,"Con 282, Lab 278, SNP 40, LD 26, DUP 8"
"15",2015-04-01 00:02:21,"Con 282, Lab 280, SNP 38, LD 26, DUP 8"
"16",2015-03-31 00:01:02,"Con 285, Lab 279, SNP 37, LD 26, DUP 8"
"17",2015-03-30 00:02:21,"Con 282, Lab 281, SNP 36, LD 27, DUP 8"
"18",2015-03-28 00:02:21,"Con 286, Lab 277, SNP 39, LD 25, DUP 8"
"19",2015-03-27 00:02:22,"Con 283, Lab 280, SNP 38, LD 26, DUP 8"
"20",2015-03-26 00:02:22,"Con 284, Lab 279, SNP 38, LD 26, DUP 8"
"21",2015-03-25 00:02:20,"Con 284, Lab 278, SNP 39, LD 26, DUP 8"
"22",2015-03-23 18:01:20,"Con 284, Lab 277, SNP 40, LD 26, DUP 8"
"23",2015-03-22 08:49:50,"Con 286, Lab 276, SNP 39, LD 26, DUP 8"
"24",2015-03-20 21:08:49,"Con 285, Lab 276, SNP 40, LD 26, DUP 8"
"25",2015-03-19 19:35:48,"Con 284, Lab 278, SNP 40, LD 25, DUP 9"
"26",2015-03-18 18:44:14,"Con 284, Lab 279, SNP 39, LD 25, DUP 9"
"27",2015-03-17 18:12:04,"Con 285, Lab 280, SNP 37, LD 25, DUP 8"
"28",2015-03-16 18:34:19,"Con 286, Lab 274, SNP 42, LD 25, DUP 8"
"29",2015-03-15 08:38:13,"Con 286, Lab 273, SNP 42, LD 26, DUP 8"
"30",2015-03-13 12:40:00,"Con 288, Lab 271, SNP 42, LD 26, DUP 8"
"31",2015-03-12 23:40:19,"Con 290, Lab 275, SNP 39, LD 24, DUP 8, UKIP 1"
"32",2015-03-11 14:40:08,"Con 295, Lab 267, SNP 42, LD 24, DUP 8, UKIP 1"
"33",2015-03-10 19:46:45,"Con 293, Lab 271, SNP 40, LD 24, DUP 8, UKIP 1"
"34",2015-03-09 17:13:12,"Con 289, Lab 277, SNP 38, LD 24, DUP 8, UKIP 1"
"35",2015-03-08 09:02:07,"Con 288, Lab 278, SNP 37, LD 25, DUP 8, UKIP 1"
"36",2015-03-06 18:40:15,"Con 286, Lab 280, SNP 38, LD 24, DUP 8, UKIP 1"
"37",2015-03-05 19:42:21,"Con 288, Lab 278, SNP 38, LD 24, DUP 8, UKIP 1"
"38",2015-03-01 10:04:11,"Con 284, Lab 279, SNP 37, LD 27, DUP 8, UKIP 1"
"39",2015-02-27 18:02:29,"Con 285, Lab 276, SNP 39, LD 27, DUP 9, UKIP 1"
"40",2015-02-26 17:05:39,"Con 285, Lab 279, SNP 39, LD 25, DUP 9, UKIP 1"
"41",2015-02-25 15:29:21,"Con 284, Lab 279, SNP 39, LD 25, DUP 9, UKIP 1"
"42",2015-02-24 17:58:11,"Con 284, Lab 280, SNP 38, LD 25, DUP 9, UKIP 1"
"43",2015-02-23 17:49:30,"Lab 284, Con 282, SNP 37, LD 25, DUP 9, UKIP 1"
"44",2015-02-22 09:51:49,"Con 284, Lab 281, SNP 37, LD 25, DUP 9, UKIP 1"
"45",2015-02-20 19:29:38,"Con 282, Lab 280, SNP 40, LD 25, DUP 9, UKIP 2"
"46",2015-02-19 15:23:48,"Lab 282, Con 281, SNP 39, LD 25, DUP 9, UKIP 2"
"47",2015-02-18 17:25:43,"Con 283, Lab 280, SNP 38, LD 25, DUP 9, UKIP 2"
"48",2015-02-17 18:43:14,"Lab 282, Con 279, SNP 39, LD 26, DUP 9, UKIP 2"
"49",2015-02-16 19:41:59,"Lab 282, Con 279, SNP 39, LD 26, DUP 9, UKIP 2"
"50",2015-02-15 09:29:20,"Lab 284, Con 278, SNP 38, LD 26, DUP 9, UKIP 2"
"51",2015-02-13 17:09:11,"Lab 283, Con 280, SNP 37, LD 27, DUP 8, UKIP 2"
"52",2015-02-12 15:52:06,"Lab 284, Con 282, SNP 35, LD 26, DUP 8, UKIP 2"
"53",2015-02-11 17:43:30,"Lab 283, Con 281, SNP 36, LD 27, DUP 8, UKIP 2"
"54",2015-02-10 18:03:35,"Con 285, Lab 280, SNP 35, LD 27, DUP 8, UKIP 2"
"55",2015-02-09 18:44:16,"Con 285, Lab 280, SNP 35, LD 27, DUP 8, UKIP 2"
"56",2015-02-08 12:30:04,"Con 285, Lab 282, SNP 34, LD 26, DUP 8, UKIP 2"
"57",2015-02-06 16:46:53,"Lab 283, Con 282, SNP 37, LD 24, DUP 7, UKIP 2"
"58",2015-02-05 15:48:35,"Con 282, Lab 282, SNP 38, LD 24, DUP 7, UKIP 2"
"59",2015-02-04 11:28:15,"Lab 285, Con 280, SNP 36, LD 25, DUP 8, UKIP 2"
"60",2015-02-03 17:36:48,"Lab 289, Con 279, SNP 34, LD 24, DUP 8, UKIP 2"
"61",2015-02-02 17:14:12,"Lab 285, Con 283, SNP 35, LD 24, DUP 8, UKIP 2"
"62",2015-02-01 14:25:44,"Lab 285, Con 281, SNP 35, LD 24, DUP 8, UKIP 3"
"63",2015-01-30 16:32:55,"Lab 285, Con 283, SNP 32, LD 27, DUP 8, UKIP 2"
"64",2015-01-29 20:20:34,"Con 283, Lab 283, SNP 33, LD 27, DUP 8, UKIP 3"
"65",2015-01-28 19:30:54,"Con 283, Lab 283, SNP 33, LD 27, DUP 8, UKIP 3"
"66",2015-01-27 19:07:09,"Con 284, Lab 282, SNP 33, LD 27, DUP 8, UKIP 3"
"67",2015-01-26 16:47:20,"Lab 287, Con 280, SNP 32, LD 27, DUP 8, UKIP 3"
"68",2015-01-25 12:25:05,"Lab 284, Con 281, SNP 33, LD 28, DUP 8, UKIP 3"
"69",2015-01-23 17:31:32,"Lab 286, Con 278, SNP 34, LD 28, DUP 8, UKIP 3"
"70",2015-01-22 18:37:58,"Lab 282, Con 281, SNP 34, LD 28, DUP 8, UKIP 3"
"71",2015-01-21 20:03:43,"Con 282, Lab 281, SNP 34, LD 28, DUP 8, UKIP 3"
"72",2015-01-20 17:12:27,"Con 283, Lab 283, SNP 33, LD 26, DUP 8, UKIP 3"
"73",2015-01-19 18:21:04,"Lab 285, Con 281, SNP 32, LD 27, DUP 8, UKIP 3"
"74",2015-01-18 14:05:52,"Lab 284, Con 281, SNP 33, LD 27, DUP 8, UKIP 3"
"75",2015-01-16 16:36:17,"Lab 287, Con 279, SNP 32, LD 27, DUP 8, UKIP 3"
"76",2015-01-15 19:54:19,"Lab 289, Con 277, SNP 32, LD 27, DUP 8, UKIP 3"
"77",2015-01-14 15:30:17,"Lab 283, Con 281, SNP 34, LD 27, DUP 8, UKIP 3"
"78",2015-01-13 18:33:21,"Lab 285, Con 281, SNP 32, LD 27, DUP 8, UKIP 3"
"79",2015-01-12 18:46:54,"Con 284, Lab 280, SNP 33, LD 28, DUP 8, UKIP 3"
"80",2015-01-09 16:22:40,"Con 284, Lab 281, SNP 34, LD 26, DUP 8, UKIP 3"
"81",2015-01-08 12:55:19,"Con 284, Lab 282, SNP 33, LD 26, DUP 8, UKIP 3"
"82",2015-01-07 18:10:56,"Lab 284, Con 281, SNP 35, LD 25, DUP 8, UKIP 3"
"83",2015-01-06 09:39:05,"Lab 288, Con 278, SNP 33, LD 26, DUP 8, UKIP 3"
"84",2015-01-05 22:48:39,"Lab 286, Con 280, SNP 33, LD 26, DUP 8, UKIP 3"
"85",2014-12-11 12:58:28,"Con 282, Lab 279, SNP 36, LD 27, UKIP 3"
"86",2014-12-10 11:04:28,"Con 282, Lab 279, SNP 36, LD 27, UKIP 3"
"87",2014-12-09 13:23:30,"Lab 281, Con 280, SNP 36, LD 27, UKIP 3"
