"Outcome", "Probability", "Date"
"Labour majority",22,"2015-04-01 09:33:32"
"Conservative majority",21,"2015-04-01 09:33:32"
"Con/Nat coalition",14,"2015-04-01 09:33:32"
"Lab/Nat coalition",14,"2015-04-01 09:33:32"
"Lab choice of Lib/Nat",11,"2015-04-01 09:33:32"
"Nat choice of Con/Lab",10,"2015-04-01 09:33:32"
"Con choice of Lib/Nat",8,"2015-04-01 09:33:32"
"No overall control",1,"2015-04-01 09:33:32"
"Labour majority",22,"2015-04-01 12:44:10"
"Conservative majority",21,"2015-04-01 12:44:10"
"Con/Nat coalition",14,"2015-04-01 12:44:10"
"Lab/Nat coalition",14,"2015-04-01 12:44:10"
"Lab choice of Lib/Nat",11,"2015-04-01 12:44:10"
"Nat choice of Con/Lab",10,"2015-04-01 12:44:10"
"Con choice of Lib/Nat",8,"2015-04-01 12:44:10"
"No overall control",1,"2015-04-01 12:44:10"
